Time,Type,Epoch,Step,Loss,Average_accuracy,R_Ankle,R_Knee,R_Hip,L_Hip,L_Knee,L_Ankle,Pelvis,Thorax,Upper_neck,Head_top,R_Wrist,R_Elbow,R_Shoulder,L_Shoulder,L_Elbow,L_Wrist
17:22:30_18.05.2019,train,[26/20],[5/6],0.00067115,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17:22:43_18.05.2019,valid,[26/20],[0/6],0.00061546,0.0391,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.000
17:22:55_18.05.2019,train,[27/20],[0/6],0.00058525,0.0234,0.000,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000
17:23:20_18.05.2019,train,[27/20],[1/6],0.00071202,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000
17:23:44_18.05.2019,train,[27/20],[2/6],0.00061122,0.0469,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.125,0.000,0.125,0.125,0.000,0.000,0.125,0.000,0.000
17:24:07_18.05.2019,train,[27/20],[3/6],0.00066668,0.0234,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000
17:24:32_18.05.2019,train,[27/20],[4/6],0.00059713,0.0312,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125
17:24:47_18.05.2019,train,[27/20],[5/6],0.00056821,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000
17:24:58_18.05.2019,valid,[27/20],[0/6],0.00059613,0.0469,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.125,0.000,0.000,0.000,0.125,0.125,0.000,0.125
17:25:10_18.05.2019,train,[28/20],[0/6],0.00054291,0.0156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000
17:25:37_18.05.2019,train,[28/20],[1/6],0.00069355,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17:25:59_18.05.2019,train,[28/20],[2/6],0.00070394,0.0234,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000
17:26:25_18.05.2019,train,[28/20],[3/6],0.00067875,0.0156,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17:26:50_18.05.2019,train,[28/20],[4/6],0.00056496,0.0234,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.000,0.000
17:27:08_18.05.2019,train,[28/20],[5/6],0.00066008,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17:27:21_18.05.2019,valid,[28/20],[0/6],0.00059792,0.0312,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000
17:27:31_18.05.2019,train,[29/20],[0/6],0.00060366,0.0234,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.125,0.000,0.000,0.000
17:27:56_18.05.2019,train,[29/20],[1/6],0.00053637,0.0391,0.125,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.125,0.125,0.000,0.000
17:28:20_18.05.2019,train,[29/20],[2/6],0.00067752,0.0078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17:28:45_18.05.2019,train,[29/20],[3/6],0.00058556,0.0312,0.000,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.125
17:29:11_18.05.2019,train,[29/20],[4/6],0.00072999,0.0234,0.000,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000
